square_id,cluster,mean_level
1249,mixed/suburban,257.1002
1250,mixed/suburban-2,943.97595
1251,mixed/suburban-2,1208.4202
1252,business,278.39188
1253,business,275.85785
1254,business,355.69464
1255,mixed/suburban,223.68071
1256,mixed/suburban-2,218.04587
1257,mixed/suburban-2,230.12215
1258,mixed/suburban-2,253.76027
1259,mixed/suburban-2,312.96442
1260,mixed/suburban-2,404.083
1265,mixed/suburban,199.21954
1266,mixed/suburban,194.0898
1267,mixed/suburban,195.24385
1268,mixed/suburban,195.24385
1269,mixed/suburban,195.24385
1270,mixed/suburban,221.90742
1346,mixed/suburban,560.8716
1347,mixed/suburban-2,521.33154
1348,mixed/suburban-2,311.1774
1349,mixed/suburban-2,326.49756
1350,mixed/suburban-2,331.7298
1351,mixed/suburban-2,356.5404
1352,business,208.58627
1353,business,231.3679
1354,business,269.66562
1365,mixed/suburban,196.40839
1366,mixed/suburban,188.6727
1367,mixed/suburban,195.24385
1368,mixed/suburban,195.24385
1369,mixed/suburban,195.24385
1370,mixed/suburban,190.44664
1400,mixed/suburban,198.49147
1440,mixed/suburban-2,217.0874
1444,mixed/suburban-2,203.24184
1445,mixed/suburban-2,232.134
1446,mixed/suburban-2,233.85693
1447,mixed/suburban-2,275.17392
1448,mixed/suburban-2,226.31378
1449,mixed/suburban-2,247.82556
1450,mixed/suburban-2,250.29356
1451,mixed/suburban-2,254.99167
1452,mixed/suburban,357.47046
1453,business,303.61374
1454,business,282.4114
1455,business,205.64381
1465,mixed/suburban,191.90419
1466,mixed/suburban,195.20802
1467,mixed/suburban,195.20847
1468,mixed/suburban,195.20847
1469,mixed/suburban,195.20847
1470,mixed/suburban,195.20847
1495,mixed/suburban-2,218.57896
1496,mixed/suburban-2,220.02467
1497,mixed/suburban-2,220.02467
1498,mixed/suburban-2,215.31508
1499,mixed/suburban,200.93536
1500,mixed/suburban,200.64693
1545,mixed/suburban-2,230.77667
1546,mixed/suburban-2,233.8175
1547,mixed/suburban,261.73428
1548,mixed/suburban-2,241.79347
1549,mixed/suburban-2,227.30908
1550,mixed/suburban-2,223.48706
1551,mixed/suburban-2,275.6298
1552,mixed/suburban,419.46628
1553,mixed/suburban,368.55267
1554,business,318.02124
1555,business,392.6722
1556,business,222.91173
1583,business-2,224.61472
1584,business-2,370.76544
1585,business,243.74269
1589,mixed/suburban,220.9496
1590,mixed/suburban-2,211.42834
1591,mixed/suburban-2,224.27762
1592,mixed/suburban-2,224.06764
1593,mixed/suburban-2,224.15129
1594,mixed/suburban-2,213.49553
1595,mixed/suburban-2,213.26625
1596,mixed/suburban-2,220.02467
1597,mixed/suburban-2,219.77277
1641,mixed/suburban-2,332.07724
1646,business,281.96063
1647,business,327.3907
1648,mixed/suburban,291.86047
1649,mixed/suburban-2,230.83371
1651,mixed/suburban-2,219.94536
1652,mixed/suburban,426.61475
1653,mixed/suburban-2,414.2374
1654,business,475.4013
1655,business,506.96655
1656,business,480.70413
1657,business,241.52763
1683,business-2,231.71527
1684,business-2,390.167
1685,business,257.13904
1687,business,186.82932
1688,mixed/suburban,230.88681
1689,mixed/suburban,240.32512
1690,mixed/suburban-2,238.69292
1691,mixed/suburban-2,224.17923
1692,mixed/suburban-2,224.38762
1693,mixed/suburban-2,224.17805
1694,mixed/suburban-2,271.60605
1695,mixed/suburban-2,280.17245
1696,mixed/suburban-2,322.1276
1697,mixed/suburban-2,315.7113
1741,mixed/suburban,240.25874
1742,mixed/suburban,311.66385
1747,business,327.3907
1748,business,336.9333
1749,mixed/suburban-2,230.83371
1752,mixed/suburban-2,360.72723
1753,mixed/suburban-2,363.69205
1754,mixed/suburban,429.121
1755,business,506.8325
1756,business,506.1058
1757,business,450.0436
1758,business,187.54994
1783,business,255.97629
1784,business,278.72812
1785,business,257.48038
1786,business,192.45389
1787,mixed/suburban,226.66946
1788,mixed/suburban,241.5481
1789,mixed/suburban,240.32512
1790,mixed/suburban,240.32512
1791,mixed/suburban-2,239.3025
1792,mixed/suburban-2,225.34024
1793,mixed/suburban-2,223.77327
1794,mixed/suburban-2,312.45007
1795,mixed/suburban-2,330.5899
1796,mixed/suburban-2,332.7501
1797,mixed/suburban-2,342.44064
1841,mixed/suburban,196.17175
1842,mixed/suburban-2,341.29855
1843,mixed/suburban,239.5126
1847,business-2,505.11987
1848,business-2,598.5795
1849,business-2,478.97043
1850,mixed/suburban,215.99895
1851,mixed/suburban-2,199.28923
1852,mixed/suburban-2,306.46744
1853,mixed/suburban-2,319.60336
1854,mixed/suburban-2,332.74924
1855,business,481.25644
1856,business,500.94406
1857,business,431.7422
1883,business,290.02252
1884,business,303.30667
1885,business,286.86523
1888,mixed/suburban-2,236.58705
1889,mixed/suburban,240.32512
1890,mixed/suburban,240.32512
1891,mixed/suburban,240.35156
1892,mixed/suburban-2,199.46619
1893,mixed/suburban-2,203.91641
1894,mixed/suburban-2,285.41492
1895,mixed/suburban-2,245.73137
1896,mixed/suburban-2,258.49048
1897,mixed/suburban-2,307.7959
1942,mixed/suburban-2,341.29855
1943,mixed/suburban-2,341.29855
1944,mixed/suburban,249.09003
1946,business-2,473.83417
1947,business-2,561.8742
1948,business-2,599.9747
1949,business-2,543.13745
1950,mixed/suburban,276.0715
1951,mixed/suburban-2,238.25659
1952,mixed/suburban-2,291.12048
1953,mixed/suburban-2,306.89896
1954,mixed/suburban-2,284.84348
1955,mixed/suburban,292.0377
1956,mixed/suburban-2,330.09103
1957,mixed/suburban-2,286.33728
1983,business,193.02974
1984,business,260.63507
1988,mixed/suburban-2,231.70866
1989,mixed/suburban-2,332.60413
1990,mixed/suburban-2,253.11575
1991,mixed/suburban-2,230.19414
2042,mixed/suburban-2,285.22018
2043,mixed/suburban-2,339.11237
2044,mixed/suburban-2,341.29855
2045,mixed/suburban,557.30255
2046,business-2,611.06244
2047,business-2,563.09
2048,business-2,357.2742
2049,business-2,284.01508
2050,mixed/suburban,251.51497
2051,mixed/suburban-2,238.15552
2052,mixed/suburban-2,246.74838
2053,mixed/suburban-2,253.46
2054,mixed/suburban-2,253.27745
2055,business,210.68489
2056,mixed/suburban,223.71439
2057,mixed/suburban,377.1098
2081,business-2,189.8706
2083,business,189.08723
2084,business,192.88242
2088,mixed/suburban-2,339.98785
2089,mixed/suburban-2,424.39105
2090,mixed/suburban-2,411.0316
2091,mixed/suburban-2,243.64793
2141,mixed/suburban-2,226.64432
2142,mixed/suburban-2,239.50076
2143,mixed/suburban-2,255.79591
2144,mixed/suburban,528.8364
2145,mixed/suburban,991.0208
2146,business,645.7339
2147,business,559.9769
2148,business-2,317.7743
2149,business-2,284.04132
2150,mixed/suburban,240.5942
2151,mixed/suburban-2,227.87143
2152,mixed/suburban-2,248.98196
2153,mixed/suburban-2,253.78325
2154,mixed/suburban,222.8703
2155,business,205.51071
2156,business,205.47975
2184,mixed/suburban,264.6108
2185,mixed/suburban,264.7945
2187,mixed/suburban-2,191.49954
2188,mixed/suburban-2,310.10483
2189,mixed/suburban-2,419.60425
2190,mixed/suburban-2,424.39105
2191,mixed/suburban-2,353.9991
2237,mixed/suburban,410.2076
2238,mixed/suburban,396.49728
2239,mixed/suburban,433.15277
2240,mixed/suburban,289.8301
2241,mixed/suburban-2,226.52457
2242,mixed/suburban-2,239.50076
2243,mixed/suburban-2,239.50076
2244,mixed/suburban-2,425.85037
2245,mixed/suburban,1036.0358
2246,business,677.85266
2247,business-2,483.6079
2248,business-2,452.9106
2249,business-2,302.75226
2253,mixed/suburban,208.09799
2254,business,205.5572
2255,business,205.59468
2256,business,188.89163
2266,business-2,607.4206
2284,mixed/suburban,325.57413
2285,mixed/suburban,343.10678
2286,mixed/suburban,277.33383
2287,mixed/suburban-2,254.91457
2288,mixed/suburban-2,254.91457
2289,mixed/suburban-2,314.68356
2290,mixed/suburban-2,423.17136
2291,mixed/suburban-2,413.47638
2292,mixed/suburban-2,219.61874
2337,mixed/suburban,539.9465
2338,mixed/suburban,579.4197
2339,mixed/suburban,571.90497
2340,mixed/suburban,365.0194
2341,mixed/suburban-2,244.71132
2342,mixed/suburban-2,239.50076
2343,mixed/suburban-2,239.50076
2344,mixed/suburban-2,244.77711
2345,business,482.4753
2346,business-2,293.59106
2347,business-2,435.5943
2348,business-2,469.66397
2349,business-2,323.22943
2353,business,202.81355
2354,business,205.59468
2355,business,205.59468
2366,business-2,376.14706
2383,business,218.99146
2384,mixed/suburban,324.17307
2385,mixed/suburban,399.15616
2386,mixed/suburban-2,371.25278
2387,mixed/suburban-2,258.09015
2388,mixed/suburban-2,254.91457
2389,mixed/suburban-2,255.33392
2390,mixed/suburban-2,340.55655
2391,mixed/suburban-2,416.03647
2392,mixed/suburban-2,216.46396
2436,mixed/suburban,217.14978
2437,mixed/suburban,457.92493
2438,mixed/suburban,466.81552
2439,mixed/suburban,441.32922
2440,mixed/suburban,347.48886
2441,mixed/suburban-2,282.6494
2442,mixed/suburban-2,239.50076
2443,mixed/suburban-2,239.50049
2444,mixed/suburban,208.2177
2447,business-2,197.97377
2448,business-2,194.33212
2453,mixed/suburban,190.0905
2454,business,205.59468
2481,business,193.397
2482,business,206.62727
2483,business,241.37741
2484,mixed/suburban,333.66107
2485,mixed/suburban-2,456.68976
2486,mixed/suburban-2,453.84967
2487,mixed/suburban-2,322.6828
2488,mixed/suburban,271.3633
2489,mixed/suburban,282.65237
2490,mixed/suburban,286.9406
2491,mixed/suburban-2,334.08356
2492,mixed/suburban,300.3893
2530,mixed/suburban,250.06473
2531,mixed/suburban-2,323.719
2536,mixed/suburban,232.57736
2537,mixed/suburban,429.853
2538,mixed/suburban,437.7499
2539,mixed/suburban,429.61264
2540,mixed/suburban,336.03394
2541,mixed/suburban,328.44592
2542,mixed/suburban-2,253.94727
2543,mixed/suburban-2,229.98924
2553,mixed/suburban,293.9587
2554,mixed/suburban,473.35962
2555,mixed/suburban,452.38055
2565,business,193.23405
2566,business,208.67244
2581,business,204.11333
2582,business,252.74286
2583,business,267.71588
2584,mixed/suburban-2,422.47757
2585,mixed/suburban-2,456.38306
2586,mixed/suburban-2,459.2979
2587,mixed/suburban,416.86298
2588,mixed/suburban,302.92816
2589,mixed/suburban,302.97174
2590,mixed/suburban,302.97174
2591,mixed/suburban,294.53653
2630,mixed/suburban-2,350.7307
2631,mixed/suburban-2,455.1942
2632,mixed/suburban-2,454.5711
2633,mixed/suburban-2,337.53244
2634,mixed/suburban-2,224.34401
2636,mixed/suburban,211.3498
2637,mixed/suburban-2,361.43848
2638,mixed/suburban-2,386.53345
2639,mixed/suburban,378.8817
2640,mixed/suburban,337.93045
2641,mixed/suburban-2,274.7924
2642,mixed/suburban-2,197.70503
2652,mixed/suburban-2,218.24664
2653,mixed/suburban,408.7325
2654,mixed/suburban,519.715
2655,mixed/suburban,519.1876
2656,mixed/suburban,371.82703
2657,mixed/suburban-2,225.47467
2663,business,215.13525
2664,business,216.5048
2665,business,216.04945
2666,business,214.94365
2667,business,214.33199
2682,business,322.29898
2683,business,322.38992
2684,business,355.95187
2685,mixed/suburban,397.96027
2686,mixed/suburban,394.1719
2687,mixed/suburban,384.78134
2688,mixed/suburban,344.23212
2689,mixed/suburban,299.4143
2690,mixed/suburban,302.26343
2691,business,221.08241
2716,mixed/suburban,219.041
2717,mixed/suburban,202.95128
2729,mixed/suburban-2,203.33687
2730,mixed/suburban-2,313.46442
2731,mixed/suburban-2,441.59174
2732,mixed/suburban-2,447.21738
2733,mixed/suburban-2,436.4338
2734,mixed/suburban-2,388.83215
2735,mixed/suburban,286.2085
2736,business,329.96307
2737,mixed/suburban-2,358.69745
2738,mixed/suburban-2,360.67798
2739,mixed/suburban-2,263.73566
2746,business,214.48819
2752,mixed/suburban-2,200.56708
2753,mixed/suburban-2,275.51953
2754,mixed/suburban,378.4941
2755,mixed/suburban,396.2617
2756,mixed/suburban-2,322.1008
2757,mixed/suburban-2,322.03116
2758,mixed/suburban-2,320.29907
2763,business,209.77191
2764,business,216.5808
2765,business,216.28604
2766,business,215.3004
2767,business,216.5808
2768,business,216.18275
2782,business-2,353.18338
2783,business,323.1117
2784,business,360.4657
2785,mixed/suburban,391.92944
2786,mixed/suburban,394.82486
2787,mixed/suburban,390.69104
2788,business,356.12436
2789,business,315.94156
2790,business,248.8401
2791,business,228.86142
2792,business,215.98906
2793,business,216.68143
2794,business,216.67711
2797,mixed/suburban-2,221.8792
2798,mixed/suburban,225.2156
2799,mixed/suburban,230.66011
2800,mixed/suburban-2,209.41011
2816,mixed/suburban,248.23827
2817,mixed/suburban,197.47237
2828,mixed/suburban-2,207.70703
2829,mixed/suburban-2,209.43257
2830,mixed/suburban-2,259.92407
2831,mixed/suburban-2,294.55246
2832,mixed/suburban-2,389.5961
2833,mixed/suburban-2,426.41617
2834,mixed/suburban-2,416.0564
2835,mixed/suburban,430.44446
2836,business-2,343.4222
2837,mixed/suburban-2,333.34897
2838,mixed/suburban-2,291.79462
2851,mixed/suburban-2,202.43776
2852,mixed/suburban-2,242.274
2853,mixed/suburban-2,245.17142
2854,mixed/suburban-2,245.83372
2855,mixed/suburban-2,255.5794
2856,mixed/suburban-2,314.47223
2857,mixed/suburban-2,322.03116
2858,mixed/suburban-2,317.0768
2865,business,201.74872
2866,business,216.38113
2867,business,215.79742
2868,business,212.87605
2869,business,191.49622
2881,business-2,297.04266
2882,business-2,408.65823
2883,business-2,397.21927
2884,business,399.99512
2885,mixed/suburban,390.6915
2886,mixed/suburban,394.09653
2887,mixed/suburban,394.03815
2888,mixed/suburban,379.63583
2889,business,352.5934
2890,business,250.26176
2893,business,216.6376
2894,business,216.68143
2895,business,221.34027
2896,mixed/suburban,274.52118
2897,mixed/suburban,289.532
2898,mixed/suburban,289.532
2899,mixed/suburban,277.45312
2900,mixed/suburban,229.95724
2916,mixed/suburban,194.79794
2917,mixed/suburban,198.34825
2918,mixed/suburban,223.5972
2919,mixed/suburban,316.02698
2920,mixed/suburban-2,206.25598
2928,mixed/suburban-2,214.90018
2929,mixed/suburban-2,215.25468
2930,mixed/suburban-2,255.56377
2931,mixed/suburban-2,268.44495
2932,mixed/suburban-2,277.26755
2933,mixed/suburban-2,457.80707
2934,mixed/suburban-2,518.6578
2935,mixed/suburban-2,532.2721
2936,mixed/suburban-2,584.0491
2937,mixed/suburban-2,400.73926
2938,mixed/suburban-2,282.80594
2951,mixed/suburban-2,236.11879
2952,mixed/suburban-2,245.85565
2953,mixed/suburban-2,245.83372
2954,mixed/suburban-2,245.83372
2955,mixed/suburban-2,250.12361
2956,mixed/suburban-2,296.21548
2957,mixed/suburban-2,304.69162
2958,mixed/suburban-2,289.56113
2981,business-2,408.65823
2982,business-2,408.65823
2983,business-2,408.65823
2984,business-2,419.1126
2985,business,411.8184
2986,mixed/suburban,392.49106
2987,mixed/suburban,384.2586
2988,business,279.9672
2989,business,266.1684
2990,business,228.25078
2991,business,217.71686
2993,business,216.66357
2994,business,216.68143
2995,business,219.114
2996,mixed/suburban,247.39949
2997,mixed/suburban,289.532
2998,mixed/suburban,289.532
2999,mixed/suburban,269.9104
3000,mixed/suburban,216.60374
3016,mixed/suburban,194.40062
3017,mixed/suburban,367.91406
3018,mixed/suburban,487.23624
3019,mixed/suburban,319.79565
3020,mixed/suburban-2,351.01086
3021,mixed/suburban-2,379.69742
3022,mixed/suburban-2,382.54105
3023,mixed/suburban-2,190.39084
3029,mixed/suburban-2,197.26268
3030,mixed/suburban-2,214.0176
3031,mixed/suburban-2,254.07903
3032,mixed/suburban-2,276.38263
3033,mixed/suburban-2,332.15582
3034,mixed/suburban-2,473.3183
3035,mixed/suburban-2,477.3231
3036,mixed/suburban-2,627.60175
3037,mixed/suburban-2,578.002
3038,mixed/suburban-2,343.97995
3039,mixed/suburban-2,269.22903
3051,mixed/suburban-2,218.48927
3052,mixed/suburban-2,245.28789
3053,mixed/suburban-2,246.04652
3054,mixed/suburban-2,249.8175
3055,mixed/suburban-2,287.47952
3056,mixed/suburban-2,302.07788
3057,mixed/suburban-2,302.07788
3058,mixed/suburban-2,293.96042
3081,business-2,389.79654
3082,business-2,447.5525
3083,business-2,471.30695
3084,business-2,487.43805
3085,business,474.66486
3086,business,305.29825
3087,business,243.61703
3088,business,245.07585
3089,business,244.75291
3090,business,217.40742
3091,business,216.68143
3092,business,216.68143
3093,business,216.68143
3094,business,217.82822
3095,mixed/suburban,263.96637
3096,mixed/suburban,281.15677
3097,mixed/suburban,289.532
3098,mixed/suburban,289.5288
3099,mixed/suburban,283.32703
3100,mixed/suburban,220.94179
3116,mixed/suburban,242.37161
3117,mixed/suburban-2,518.45996
3118,mixed/suburban,706.9238
3119,mixed/suburban,484.71365
3120,mixed/suburban-2,404.57687
3121,mixed/suburban-2,381.1775
3122,mixed/suburban,306.22647
3130,mixed/suburban-2,318.7027
3131,mixed/suburban-2,312.47858
3132,mixed/suburban-2,254.19574
3133,mixed/suburban-2,291.90067
3134,mixed/suburban-2,470.88028
3135,mixed/suburban-2,546.7099
3136,mixed/suburban-2,542.90784
3137,mixed/suburban-2,477.38312
3138,mixed/suburban-2,335.41147
3139,mixed/suburban-2,335.41147
3140,mixed/suburban-2,319.3557
3151,mixed/suburban-2,191.0932
3152,mixed/suburban-2,251.59749
3153,mixed/suburban-2,394.7144
3154,mixed/suburban-2,370.00793
3155,mixed/suburban-2,311.52533
3156,mixed/suburban-2,302.07788
3157,mixed/suburban-2,302.07788
3158,mixed/suburban-2,291.12497
3168,business,186.78171
3181,business-2,376.54095
3182,business-2,553.6138
3183,business-2,553.6009
3184,business-2,558.88684
3185,business,575.49304
3186,business,305.74405
3187,business,244.61734
3188,business,244.94704
3189,business,245.14853
3190,business,218.18706
3191,business,216.68143
3192,business,216.68143
3193,business,216.68143
3194,business,234.84052
3195,mixed/suburban,289.27737
3196,mixed/suburban,289.532
3197,mixed/suburban,282.7305
3198,mixed/suburban,286.14813
3199,mixed/suburban,272.04318
3200,mixed/suburban,224.85732
3216,mixed/suburban-2,259.2951
3217,mixed/suburban-2,472.41745
3218,mixed/suburban-2,670.4194
3219,mixed/suburban-2,545.73676
3220,mixed/suburban,429.47278
3221,mixed/suburban,372.27496
3222,business,298.03796
3226,mixed/suburban,258.08624
3230,mixed/suburban-2,410.50214
3231,mixed/suburban-2,414.7182
3232,mixed/suburban-2,389.06082
3233,mixed/suburban-2,437.22467
3234,mixed/suburban-2,582.8772
3235,mixed/suburban-2,581.7793
3236,mixed/suburban-2,561.5645
3237,mixed/suburban-2,419.61743
3238,mixed/suburban-2,294.4818
3239,mixed/suburban-2,289.96655
3240,mixed/suburban-2,249.73878
3251,mixed/suburban-2,216.61244
3252,mixed/suburban-2,306.0541
3253,mixed/suburban-2,644.4459
3254,mixed/suburban-2,519.4434
3255,mixed/suburban-2,441.6282
3256,mixed/suburban-2,379.46237
3257,mixed/suburban,320.99136
3258,mixed/suburban,329.64645
3264,business,191.02377
3281,business-2,395.25354
3282,business-2,553.6138
3283,business-2,544.135
3284,business,570.68097
3285,mixed/suburban,640.92523
3286,mixed/suburban,469.20093
3287,business,244.46136
3288,business,245.14566
3289,business,245.21123
3290,business,228.41089
3291,business,216.68143
3292,business,216.68143
3293,business,217.0434
3294,mixed/suburban,271.79553
3295,mixed/suburban,289.532
3296,mixed/suburban,289.532
3297,mixed/suburban,273.36057
3298,mixed/suburban,250.89772
3299,mixed/suburban,229.96362
3300,mixed/suburban,228.42667
3318,mixed/suburban-2,467.62164
3319,mixed/suburban-2,464.5451
3320,business,415.66214
3321,business,415.36465
3322,business,340.3537
3323,business-2,308.39337
3324,business,220.89749
3325,business,337.36624
3326,mixed/suburban,396.05963
3327,mixed/suburban,217.5871
3330,mixed/suburban-2,392.2123
3331,mixed/suburban-2,457.00867
3332,mixed/suburban-2,520.35583
3333,mixed/suburban-2,592.7152
3334,mixed/suburban-2,656.25525
3335,mixed/suburban-2,629.9677
3336,mixed/suburban-2,693.8573
3337,mixed/suburban-2,630.7998
3338,mixed/suburban-2,236.11034
3339,mixed/suburban-2,236.11034
3340,mixed/suburban-2,233.203
3346,mixed/suburban-2,212.8798
3347,mixed/suburban-2,241.07997
3348,mixed/suburban-2,241.07997
3349,mixed/suburban-2,225.69254
3350,mixed/suburban,325.93497
3351,mixed/suburban,306.2421
3352,mixed/suburban-2,578.63434
3353,mixed/suburban-2,693.171
3354,mixed/suburban-2,553.2732
3355,mixed/suburban-2,368.25287
3356,mixed/suburban,354.06454
3357,business,374.96262
3358,business,337.09372
3359,business,272.18335
3363,mixed/suburban-2,293.29663
3364,mixed/suburban-2,307.37167
3365,mixed/suburban-2,307.37167
3366,mixed/suburban-2,307.37167
3367,mixed/suburban,413.6657
3368,mixed/suburban,396.96832
3369,mixed/suburban,253.68216
3379,mixed/suburban,447.92923
3380,mixed/suburban,550.3303
3381,business,552.4052
3382,business,515.46655
3383,business,452.6263
3384,mixed/suburban,476.48434
3385,mixed/suburban,640.9299
3386,mixed/suburban,613.86566
3387,business,260.24512
3388,business,245.81073
3389,business,245.81073
3390,business,231.14987
3393,business,210.84967
3394,mixed/suburban,288.96155
3395,mixed/suburban,289.532
3396,mixed/suburban,289.532
3397,mixed/suburban,289.4671
3398,mixed/suburban,229.81271
3418,mixed/suburban-2,467.62164
3419,mixed/suburban-2,325.37256
3420,mixed/suburban,190.7528
3421,mixed/suburban,275.86185
3422,business-2,322.44824
3423,business-2,324.7051
3424,business,283.05774
3425,business,259.97162
3426,mixed/suburban,367.85458
3427,mixed/suburban,399.00916
3428,mixed/suburban-2,323.1854
3429,mixed/suburban-2,310.48273
3430,mixed/suburban-2,194.39497
3431,mixed/suburban-2,438.83875
3432,mixed/suburban-2,900.3915
3433,mixed/suburban-2,703.8855
3434,mixed/suburban-2,656.25525
3435,mixed/suburban-2,662.27484
3436,mixed/suburban-2,941.63885
3437,mixed/suburban-2,907.52716
3438,mixed/suburban-2,517.5149
3439,mixed/suburban-2,236.00764
3440,mixed/suburban-2,234.77625
3446,mixed/suburban-2,241.08191
3447,mixed/suburban-2,241.07997
3448,mixed/suburban-2,241.10916
3449,mixed/suburban-2,275.87347
3450,mixed/suburban,296.39792
3451,mixed/suburban,477.6208
3452,mixed/suburban-2,569.05853
3453,mixed/suburban-2,745.00385
3454,mixed/suburban-2,605.7649
3455,mixed/suburban-2,416.4128
3456,business,318.81622
3457,business,295.44366
3458,business,433.92456
3459,business,296.98975
3462,mixed/suburban,310.87415
3463,mixed/suburban,557.0399
3464,mixed/suburban,414.38742
3465,mixed/suburban-2,332.1787
3466,mixed/suburban-2,382.7511
3467,mixed/suburban-2,505.94977
3468,mixed/suburban,274.25586
3469,mixed/suburban,308.13312
3470,mixed/suburban,353.09177
3471,mixed/suburban,320.41397
3472,mixed/suburban,324.13245
3479,mixed/suburban,447.91876
3480,mixed/suburban,550.30206
3481,mixed/suburban,550.29895
3482,mixed/suburban,494.17526
3483,mixed/suburban,454.60632
3484,mixed/suburban,426.04947
3485,mixed/suburban,422.03806
3486,mixed/suburban,437.27325
3487,business,244.98843
3488,business,254.69693
3489,business,257.9962
3494,mixed/suburban,246.2219
3495,mixed/suburban,290.2058
3496,mixed/suburban,298.222
3497,mixed/suburban,259.09842
3518,mixed/suburban-2,237.12517
3522,business-2,252.46567
3523,business-2,302.04065
3524,business,257.2247
3525,business,270.20862
3526,business,306.30154
3527,business,312.6892
3528,mixed/suburban-2,364.02612
3529,mixed/suburban-2,353.71042
3530,mixed/suburban-2,208.1959
3531,mixed/suburban-2,205.0924
3532,mixed/suburban-2,830.136
3533,mixed/suburban-2,889.76605
3534,mixed/suburban-2,833.2717
3535,mixed/suburban-2,807.25586
3536,mixed/suburban-2,915.4371
3537,mixed/suburban-2,856.0477
3538,mixed/suburban-2,547.1993
3539,mixed/suburban-2,310.54205
3540,mixed/suburban-2,188.52803
3545,mixed/suburban-2,218.75664
3546,mixed/suburban-2,227.6264
3547,mixed/suburban,392.3387
3548,mixed/suburban,513.1574
3549,mixed/suburban,556.21234
3550,mixed/suburban,534.3322
3551,mixed/suburban,570.3702
